GENESIS-Tabelle: 12613-020Z
Gestorbene (je 1000 EW);;;
auf Gemeinden (Gebietsstand 01.01.23);;;
Sterbefälle;;;
;;;Gestorbene je 1000 Einwohner
;;;je 1000 Ew
1984;14523090;      Ellefeld;17,4
1984;14523100;      Elsterberg, Stadt;16,6
1984;14523120;      Falkenstein/Vogtl., Stadt;18,5
1984;14523130;      Grünbach;21,0
1984;14523150;      Heinsdorfergrund;19,7
1984;14523160;      Klingenthal, Stadt;22,6
1984;14523170;      Lengenfeld, Stadt;19,5
1984;14523190;      Limbach;19,8
1984;14523200;      Markneukirchen, Stadt;16,9
1984;14523230;      Mühlental;14,8
1984;14523245;      Muldenhammer;15,1
1984;14523260;      Netzschkau, Stadt;17,8
1984;14523270;      Neuensalz;13,8
1984;14523280;      Neumark;17,1
1984;14523290;      Neustadt/Vogtl.;8,0
1984;14523300;      Oelsnitz/Vogtl., Stadt;18,8
1984;14523310;      Pausa-Mühltroff, Stadt;12,5
1984;14523320;      Plauen, Stadt;16,6
1984;14523330;      Pöhl;12,3
1984;14523340;      Reichenbach im Vogtland, Stadt;17,3
1984;14523360;      Rodewisch, Stadt;16,3
1984;14523365;      Rosenbach/Vogtl.;10,7
1984;14523370;      Schöneck/Vogtl., Stadt;15,2
1984;14523380;      Steinberg;21,1
1984;14523410;      Theuma;18,9
1984;14523420;      Tirpersdorf;18,5
1984;14523430;      Treuen, Stadt;14,3
1984;14523440;      Triebel/Vogtl.;15,6
1984;14523450;      Weischlitz;17,1
1984;14523460;      Werda;12,8
1984;14524;    Zwickau, Landkreis;16,8
