group;week;Low normal range;High normal range;Baseline;Substantial increase;Observed count
65to74;2019-14;10816.74;11382.23;11098.29;11668.56;11315
65to74;2019-15;10757.7;11315.18;11035.27;11597.42;10908
65to74;2019-16;10697.05;11247.25;10971;11525.78;11235
65to74;2019-17;10635.69;11179.56;10906.49;11454.87;10841
65to74;2019-18;10574.49;11113.13;10842.7;11385.77;10601
65to74;2019-19;10514.39;11048.95;10780.57;11319.53;10747
65to74;2019-20;10456.25;10987.93;10720.99;11257.06;10711
65to74;2019-21;10400.97;10930.88;10664.83;11199.11;10641
65to74;2019-22;10349.38;10878.51;10612.85;11146.35;10653
65to74;2019-23;10302.27;10831.47;10565.77;11099.37;10801
65to74;2019-24;10260.38;10790.29;10524.23;11058.56;10533
65to74;2019-25;10224.36;10755.44;10488.78;11024.32;10614
65to74;2019-26;10194.76;10727.27;10459.89;10996.9;10896
65to74;2019-27;10172.1;10706.07;10437.95;10976.46;10710
65to74;2019-28;10156.72;10692.07;10423.25;10963.16;10251
65to74;2019-29;10148.9;10685.39;10416;10957.07;10265
65to74;2019-30;10148.81;10686.11;10416.31;10958.2;11309
65to74;2019-31;10156.5;10694.22;10424.2;10966.53;10537
65to74;2019-32;10171.9;10709.65;10439.62;10981.97;10315
65to74;2019-33;10194.86;10732.25;10462.4;11004.38;10254
65to74;2019-34;10225.07;10761.83;10492.3;11033.62;10310
65to74;2019-35;10262.16;10798.09;10528.99;11069.44;10726
65to74;2019-36;10305.63;10840.69;10572.03;11111.58;10221
65to74;2019-37;10354.89;10889.21;10620.93;11159.72;10504
65to74;2019-38;10409.24;10943.17;10675.09;11213.46;10534
65to74;2019-39;10467.92;11002;10733.85;11272.34;10761
65to74;2019-40;10530.09;11065.06;10796.47;11335.84;10826
65to74;2019-41;10594.86;11131.62;10862.14;11403.3;10905
65to74;2019-42;10661.29;11200.9;10929.98;11474.02;10918
65to74;2019-43;10728.42;11272.01;10999.1;11547.15;11136
65to74;2019-44;10795.28;11344.04;11068.53;11621.8;10991
65to74;2019-45;10860.93;11415.95;11137.29;11696.9;11169
65to74;2019-46;10924.42;11486.72;11204.39;11771.37;11165
65to74;2019-47;10984.87;11555.25;11268.86;11844.03;11365
65to74;2019-48;11041.44;11620.46;11329.72;11913.65;11291
65to74;2019-49;11093.34;11681.28;11386.05;11979.02;11836
65to74;2019-50;11139.88;11736.67;11436.98;12038.94;11972
65to74;2019-51;11180.41;11785.68;11481.72;12092.28;12097
65to74;2019-52;11214.41;11827.44;11519.56;12138.01;11660
65to74;2020-01;11241.42;11861.19;11549.92;12175.21;12067
65to74;2020-02;11261.1;11886.34;11572.31;12203.16;12261
65to74;2020-03;11273.21;11902.42;11586.39;12221.27;12031
65to74;2020-04;11277.63;11909.16;11591.96;12229.2;12224
65to74;2020-05;11274.33;11906.46;11588.96;12226.81;12283
65to74;2020-06;11263.41;11894.39;11577.47;12214.16;11929
65to74;2020-07;11245.07;11873.21;11557.72;12191.52;11856
65to74;2020-08;11219.67;11843.31;11530.08;12159.32;11648
65to74;2020-09;11187.47;11805.42;11495.06;12118.52;11656
65to74;2020-10;11149.12;11760.13;11453.27;12069.69;11754
65to74;2020-11;11105.19;11708.34;11405.44;12013.88;12296
65to74;2020-12;11056.23;11651.11;11352.37;11952.43;13487
65to74;2020-13;11003.06;11589.41;11294.97;11886.36;15289
65to74;2020-14;10946.44;11524.36;11234.16;11817.01;16286
65to74;2020-15;10887.18;11457.1;11170.93;11745.67;15589
65to74;2020-16;10826.16;11388.77;11106.28;11673.61;13916
65to74;2020-17;10764.26;11320.47;11041.2;11602.06;12879
65to74;2020-18;10702.38;11253.27;10976.67;11532.14;11913
65to74;2020-19;10641.45;11188.17;10913.67;11464.93;11558
65to74;2020-20;10582.37;11126.08;10853.09;11401.32;11106
65to74;2020-21;10526.02;11067.86;10795.81;11342.16;10881
65to74;2020-22;10473.26;11014.25;10742.62;11288.13;10791
65to74;2020-23;10424.91;10965.9;10694.26;11239.8;10721
65to74;2020-24;10381.69;10923.37;10651.38;11197.64;10456
65to74;2020-25;10344.29;10887.15;10614.56;11162.03;10538
65to74;2020-26;10313.31;10857.6;10584.29;11133.23;11104
65to74;2020-27;10289.22;10835.06;10560.97;11111.49;10659
65to74;2020-28;10272.43;10819.74;10544.9;11096.93;10302
65to74;2020-29;10263.24;10811.8;10536.33;11089.64;10465
65to74;2020-30;10261.82;10811.32;10535.37;11089.63;10660
65to74;2020-31;10268.25;10818.3;10542.08;11096.9;10797
65to74;2020-32;10282.47;10832.7;10556.39;11111.38;10866
65to74;2020-33;10304.34;10854.37;10578.16;11132.94;11591
65to74;2020-34;10333.6;10883.11;10607.17;11161.41;10780
65to74;2020-35;10369.87;10918.66;10643.09;11196.58;10706
65to74;2020-36;10412.67;10960.68;10685.5;11238.18;10873
65to74;2020-37;10461.41;11008.75;10733.92;11285.89;11045
65to74;2020-38;10515.43;11062.39;10787.75;11339.32;11054
65to74;2020-39;10573.95;11121.05;10846.35;11398.03;11347
65to74;2020-40;10636.14;11184.08;10908.97;11461.48;11589
65to74;2020-41;10701.12;11250.78;10974.8;11529.04;11563
65to74;2020-42;10767.93;11320.36;11043;11600.01;11898
65to74;2020-43;10835.63;11391.95;11112.63;11673.56;12571
65to74;2020-44;10903.24;11464.6;11182.74;11748.78;13199
65to74;2020-45;10969.78;11537.32;11252.36;11824.65;13502
65to74;2020-46;11034.31;11609.06;11320.47;11900.06;13812
65to74;2020-47;11095.93;11678.73;11386.08;11973.84;13750
65to74;2020-48;11153.77;11745.23;11448.23;12044.76;13965
65to74;2020-49;11207.03;11807.49;11505.95;12111.61;14357
65to74;2020-50;11255;11864.45;11558.38;12173.16;14112
65to74;2020-51;11297;11915.12;11604.69;12228.27;14173
65to74;2020-52;11332.5;11958.63;11644.16;12275.88;14297
65to74;2020-53;11361;11994.19;11676.17;12315.06;14379
65to74;2021-01;11382.16;12021.17;11700.21;12345.01;14560
65to74;2021-02;11395.71;12039.08;11715.92;12365.16;15163
65to74;2021-03;11401.49;12047.61;11723.07;12375.1;15281
65to74;2021-04;11399.47;12046.62;11721.56;12374.64;14855
65to74;2021-05;11389.74;12036.17;11711.46;12363.81;14211
65to74;2021-06;11372.46;12016.47;11692.99;12342.88;13610
65to74;2021-07;11347.95;11987.93;11666.48;12312.29;13473
65to74;2021-08;11316.58;11951.14;11632.42;12272.71;12609
65to74;2021-09;11278.86;11906.8;11591.41;12224.99;12554
65to74;2021-10;11235.36;11855.77;11544.18;12170.12;12822
65to74;2021-11;11186.74;11799.02;11491.52;12109.21;12784
65to74;2021-12;11133.7;11737.59;11434.31;12043.49;12778
65to74;2021-13;11077.04;11672.58;11373.51;11974.23;12853
65to74;2021-14;11017.59;11605.15;11310.1;11902.72;13027
65to74;2021-15;10956.2;11536.42;11245.07;11830.26;12771
65to74;2021-16;10893.79;11467.53;11179.43;11758.06;12846
65to74;2021-17;10831.25;11399.56;11114.19;11687.32;12436
65to74;2021-18;10769.52;11333.51;11050.32;11619.09;12706
65to74;2021-19;10709.51;11270.36;10988.74;11554.34;11974
65to74;2021-20;10652.12;11210.94;10930.34;11493.91;11828
65to74;2021-21;10598.22;11156.05;10875.94;11438.52;11226
65to74;2021-22;10548.64;11106.35;10826.3;11388.78;11414
65to74;2021-23;10504.12;11062.43;10782.07;11345.18;11348
65to74;2021-24;10465.37;11024.79;10743.87;11308.13;11383
65to74;2021-25;10432.99;10993.84;10712.19;11277.92;11002
65to74;2021-26;10407.49;10969.91;10687.47;11254.8;11181
65to74;2021-27;10389.3;10953.24;10670.03;11238.91;11148
65to74;2021-28;10378.72;10944;10660.11;11230.37;11407
65to74;2021-29;10375.95;10942.29;10657.87;11229.2;11552
65to74;2021-30;10381.1;10948.12;10663.35;11235.38;11380
65to74;2021-31;10394.12;10961.46;10676.53;11248.89;11459
65to74;2021-32;10414.89;10982.18;10697.28;11269.57;11693
65to74;2021-33;10443.16;11010.09;10725.38;11297.27;11620
65to74;2021-34;10478.57;11044.92;10760.5;11331.8;11501
65to74;2021-35;10520.65;11086.35;10802.27;11372.88;11753
65to74;2021-36;10568.84;11133.97;10850.18;11420.2;12179
65to74;2021-37;10622.47;11187.31;10903.67;11473.37;11609
65to74;2021-38;10680.77;11245.81;10962.08;11531.94;11627
65to74;2021-39;10742.94;11308.84;11024.68;11595.4;11917
65to74;2021-40;10808.09;11375.68;11090.67;11663.08;11931
65to74;2021-41;10875.26;11445.56;11159.2;11734.34;12355
65to74;2021-42;10943.5;11517.62;11229.34;11808.33;12255
65to74;2021-43;11011.81;11590.91;11300.13;11884.16;12748
65to74;2021-44;11079.24;11664.43;11370.58;11960.77;12739
65to74;2021-45;11144.79;11737.15;11439.7;12037.15;13137
65to74;2021-46;11207.58;11807.96;11506.46;12112.04;13374
65to74;2021-47;11266.7;11875.75;11569.89;12184.26;14095
65to74;2021-48;11321.34;11939.44;11629.02;12252.57;14704
65to74;2021-49;11370.75;11997.95;11682.95;12315.74;14450
65to74;2021-50;11414.26;12050.3;11730.84;12372.61;14246
65to74;2021-51;11451.27;12095.56;11771.95;12422.09;14271
65to74;2021-52;11481.31;12132.93;11805.62;12463.22;14175
65to74;2022-01;11503.97;12161.75;11831.34;12495.19;13548
65to74;2022-02;11518.98;12181.5;11848.7;12517.37;13529
65to74;2022-03;11526.16;12191.84;11857.44;12529.32;13112
65to74;2022-04;11525.47;12192.58;11857.46;12530.81;13587
65to74;2022-05;11516.94;12183.77;11848.79;12521.85;13494
65to74;2022-06;11500.77;12165.59;11831.62;12502.64;13004
65to74;2022-07;11477.21;12138.41;11806.27;12473.61;13002
65to74;2022-08;11446.66;12102.8;11773.2;12435.41;12371
65to74;2022-09;11409.59;12059.44;11733.02;12388.83;12409.45
65to74;2022-10;11366.58;12009.18;11686.41;12334.86;12481.97
65to74;2022-11;11318.28;11952.96;11634.18;12274.61;12459.03
65to74;2022-12;11265.4;11891.85;11577.21;12209.28;12528.38
65to74;2022-13;11208.72;11826.92;11516.44;12140.15;12479.72
65to74;2022-14;11149.09;11759.32;11452.85;12068.48;12624.96
65to74;2022-15;11087.37;11690.22;11387.47;11995.62;12210.4
65to74;2022-16;11024.46;11620.75;11321.29;11922.79;12018.73
65to74;2022-17;10961.28;11551.99;11255.35;11851.2;11989.87
65to74;2022-18;10898.77;11485.01;11190.61;11781.95;11906.26
65to74;2022-19;10837.86;11420.76;11128.04;11716;11745.96
65to74;2022-20;10779.45;11360.13;11068.52;11654.26;11537.83
65to74;2022-21;10724.43;11303.92;11012.91;11597.45;10952.1
65to74;2022-22;10673.63;11252.84;10961.96;11546.24;11432.34
65to74;2022-23;10627.83;11207.49;10916.38;11501.14;11406.21
65to74;2022-24;10587.74;11168.4;10876.78;11462.58;11747.68
65to74;2022-25;10553.98;11136;10843.69;11430.89;11801.78
65to74;2022-26;10527.08;11110.63;10817.54;11406.32;11629.5
65to74;2022-27;10507.48;11092.57;10798.7;11389.05;11559.18
65to74;2022-28;10495.51;11082;10787.43;11379.2;12054.36
65to74;2022-29;10491.4;11079.02;10783.87;11376.81;12680.64
65to74;2022-30;10495.24;11083.68;10788.12;11381.89;12145.11
65to74;2022-31;10507.04;11095.94;10800.15;11394.38;11793.02
65to74;2022-32;10526.68;11115.68;10819.85;11414.17;11939.88
65to74;2022-33;10553.93;11142.74;10847;11441.12;11676.92
65to74;2022-34;10588.44;11176.85;10881.32;11475.01;11240.45
65to74;2022-35;10629.78;11217.68;10922.41;11515.56;11003.55
65to74;2022-36;10677.36;11264.86;10969.8;11562.52;11456.56
65to74;2022-37;10730.55;11317.89;11022.92;11615.45;11289.83
65to74;2022-38;10788.61;11376.23;11081.12;11673.91;11564.58
65to74;2022-39;10850.71;11439.26;11143.69;11737.4;12087.95
65to74;2022-40;10915.98;11506.26;11209.83;11805.27;12262.85
65to74;2022-41;10983.47;11576.47;11278.67;11876.84;12379.79
65to74;2022-42;11052.21;11649.01;11349.3;11951.31;12392.26
65to74;2022-43;11121.21;11722.95;11420.76;12027.76;12131.23
65to74;2022-44;11189.49;11797.28;11492.05;12105.18;11856.6
65to74;2022-45;11256.07;11870.97;11562.16;12182.48;12045.75
65to74;2022-46;11320.02;11942.91;11630.07;12258.5;12255.63
65to74;2022-47;11380.42;12011.99;11694.78;12332.01;12763.33
65to74;2022-48;11436.49;12077.06;11755.32;12401.68;12914.25
65to74;2022-49;11487.32;12137.18;11810.76;12466.55;13513.49
65to74;2022-50;11532.35;12191.2;11860.25;12525.17;14633.75
65to74;2022-51;11570.91;12238.21;11903;12576.51;15411.68
65to74;2022-52;11602.5;12277.4;11938.36;12619.59;15135.1
65to74;2023-01;11626.7;12308.07;11965.77;12653.58;14379.31
65to74;2023-02;11643.21;12329.68;11984.81;12677.79;13366.08
65to74;2023-03;11651.83;12341.83;11995.18;12691.76;12866.32
65to74;2023-04;11652.49;12344.35;11996.76;12695.24;12626.48
65to74;2023-05;11645.22;12337.2;11989.54;12688.15;12440.06
65to74;2023-06;11630.16;12320.56;11973.7;12670.7;12041.97
65to74;2023-07;11607.6;12294.78;11949.54;12643.27;10772.31
75to84;2017-09;20166.56;21280.98;20721.27;21845.63;21890
75to84;2017-10;20042.48;21140.54;20589.07;21696.85;20917
75to84;2017-11;19900.8;20980.98;20438.51;21528.16;20403
75to84;2017-12;19743.76;20805.24;20272.19;21342.89;19813
75to84;2017-13;19573.85;20616.47;20092.9;21144.51;19709
75to84;2017-14;19393.68;20417.95;19903.61;20936.63;19355
75to84;2017-15;19206.01;20212.99;19707.35;20722.88;19102
75to84;2017-16;19013.65;20004.91;19507.18;20506.8;19166
75to84;2017-17;18819.45;19796.92;19306.12;20291.81;19438
75to84;2017-18;18625.99;19592.35;19107.14;20081.61;19226
75to84;2017-19;18436.82;19393.32;18913.05;19877.59;19326
75to84;2017-20;18253.86;19203.23;18726.54;19683.91;19005
75to84;2017-21;18079.93;19024.26;18550.09;19502.4;18615
75to84;2017-22;17917.43;18858.55;18385.99;19335.1;18473
75to84;2017-23;17768.58;18708.02;18236.28;19183.76;17446
75to84;2017-24;17635.36;18574.32;18102.81;19049.85;18333
75to84;2017-25;17519.52;18458.86;17987.15;18934.62;18952
75to84;2017-26;17422.59;18362.82;17890.64;18839.07;18250
75to84;2017-27;17345.8;18287.14;17814.39;18763.99;18536
75to84;2017-28;17290.13;18232.56;17759.26;18709.99;17573
75to84;2017-29;17256.3;18199.6;17725.86;18677.5;17861
75to84;2017-30;17244.74;18188.58;17714.57;18666.75;17892
75to84;2017-31;17255.63;18199.59;17725.52;18677.82;18375
75to84;2017-32;17288.89;18232.53;17758.62;18710.59;17833
75to84;2017-33;17344.1;18287.12;17813.53;18764.83;17685
75to84;2017-34;17420.65;18362.84;17889.68;18840.09;17860
75to84;2017-35;17517.6;18458.97;17986.23;18935.78;17866
75to84;2017-36;17633.78;18574.57;18102.14;19051.03;17607
75to84;2017-37;17767.71;18708.5;18236.08;19184.92;18137
75to84;2017-38;17917.69;18859.36;18386.51;19336.19;18369
75to84;2017-39;18081.74;19025.52;18551.63;19503.38;18939
75to84;2017-40;18257.66;19205.14;18729.4;19684.83;18964
75to84;2017-41;18443.06;19396.07;18917.57;19878.55;19439
75to84;2017-42;18635.37;19595.97;19113.66;20082.26;19168
75to84;2017-43;18831.81;19802.26;19315;20293.54;18916
75to84;2017-44;19029.61;20012.07;19518.78;20509.45;19043
75to84;2017-45;19225.86;20222.42;19722.04;20726.96;19356
75to84;2017-46;19417.67;20430.1;19921.74;20942.72;19934
75to84;2017-47;19602.15;20631.87;20114.81;21153.29;20271
75to84;2017-48;19776.5;20824.39;20298.19;21355.06;20670
75to84;2017-49;19938.06;21004.39;20468.91;21544.46;21216
75to84;2017-50;20084.3;21168.68;20624.12;21717.96;22179
75to84;2017-51;20212.94;21314.31;20761.19;21872.25;22383
75to84;2017-52;20321.94;21438.56;20877.76;22004.3;22968
75to84;2018-01;20409.55;21539.1;20971.79;22111.43;23732
75to84;2018-02;20474.37;21613.98;21041.6;22191.45;23355
75to84;2018-03;20515.37;21661.77;21085.97;22242.72;23288
75to84;2018-04;20531.88;21681.54;21104.1;22264.15;22896
75to84;2018-05;20523.69;21672.9;21095.68;22255.28;22766
75to84;2018-06;20490.94;21636.04;21060.9;22216.33;23037
75to84;2018-07;20434.23;21571.71;21000.4;22148.11;23529
75to84;2018-08;20354.51;21481.17;20915.31;22052.04;23714
75to84;2018-09;20253.13;21366.2;20807.18;21930.13;25726
75to84;2018-10;20131.74;21229.01;20677.95;21784.87;26042
75to84;2018-11;19992.34;21072.19;20529.9;21619.17;24111
75to84;2018-12;19837.14;20898.64;20365.58;21436.27;22753
75to84;2018-13;19668.59;20711.49;20187.8;21239.64;22244
75to84;2018-14;19489.31;20514.01;19999.47;21032.89;21353
75to84;2018-15;19302.03;20309.54;19803.65;20819.66;20634
75to84;2018-16;19109.57;20101.39;19603.39;20603.55;19806
75to84;2018-17;18914.79;19892.83;19401.75;20387.97;18743
75to84;2018-18;18720.54;19686.93;19201.71;20176.18;18741
75to84;2018-19;18529.62;19486.64;19006.12;19971.14;18490
75to84;2018-20;18344.75;19294.65;18817.7;19775.56;18017
75to84;2018-21;18168.52;19113.42;18638.98;19591.82;18541
75to84;2018-22;18003.4;18945.14;18472.27;19421.98;18619
75to84;2018-23;17851.61;18791.79;18319.69;19267.87;18423
75to84;2018-24;17715.19;18655.05;18183.1;19131.02;17495
75to84;2018-25;17595.96;18536.37;18064.13;19012.67;17770
75to84;2018-26;17495.46;18436.99;17964.17;18913.89;18469
75to84;2018-27;17414.99;18357.88;17884.37;18835.5;18370
75to84;2018-28;17355.59;18299.81;17825.62;18778.14;17831
75to84;2018-29;17318;18263.35;17788.58;18742.27;18079
75to84;2018-30;17302.72;18248.83;17773.68;18728.15;19277
75to84;2018-31;17309.97;18256.4;17781.09;18735.88;19896
75to84;2018-32;17339.68;18286;17810.74;18765.4;19220
75to84;2018-33;17391.53;18337.35;17862.35;18816.48;18037
75to84;2018-34;17464.91;18409.97;17935.37;18888.69;17962
75to84;2018-35;17558.96;18503.2;18029.02;18981.48;17645
75to84;2018-36;17672.5;18616.13;18142.27;19094.04;18074
75to84;2018-37;17804.13;18747.63;18273.85;19225.43;18029
75to84;2018-38;17952.17;18896.35;18422.25;19374.45;18203
75to84;2018-39;18114.67;19060.72;18585.69;19539.73;18188
75to84;2018-40;18289.47;19238.89;18762.18;19719.57;18471
75to84;2018-41;18474.2;19428.79;18949.49;19912.06;19079
75to84;2018-42;18666.26;19628.1;19145.17;20115.03;18434
75to84;2018-43;18862.96;19834.25;19346.57;20325.95;18810
75to84;2018-44;19061.48;20044.45;19550.9;20542.08;19461
75to84;2018-45;19258.92;20255.7;19755.21;20760.34;19730
75to84;2018-46;19452.37;20464.83;19956.46;20977.45;19299
75to84;2018-47;19638.92;20668.59;20151.56;21189.95;19996
75to84;2018-48;19815.75;20863.66;20337.45;21394.33;20513
75to84;2018-49;19980.21;21046.67;20511.13;21586.79;20627
75to84;2018-50;20129.67;21214.48;20669.7;21763.96;20570
75to84;2018-51;20261.82;21364.06;20810.51;21922.43;21221
75to84;2018-52;20374.58;21492.63;20931.11;22059.08;20985
75to84;2019-01;20466.13;21597.79;21029.42;22171.18;21724
75to84;2019-02;20535.02;21677.5;21103.68;22256.43;22785
75to84;2019-03;20580.13;21730.26;21152.59;22313.09;22758
75to84;2019-04;20600.77;21755.01;21175.27;22339.95;22854
75to84;2019-05;20596.61;21751.31;21171.34;22336.48;23012
75to84;2019-06;20567.77;21719.23;21140.88;22302.75;23230
75to84;2019-07;20514.74;21659.43;21084.49;22239.49;22864
75to84;2019-08;20438.44;21573.09;21003.21;22148.03;22098
