GENESIS-Tabelle: 12410-010Z
Fortschreibung zum 30.06. nach Geschlecht auf Gemeinden;;;;;
(Gebietsstand 01.01.2023);;;;;
Fortschreibung des Bev.standes (Basis 9.5.2011) ;;;;;
Bevölkerung am 30.06. (absolut);;;;;
;;;Insgesamt;männlich;weiblich
30.06.2011;14729350;      Pegau, Stadt;6495;3170;3325
30.06.2011;14729360;      Regis-Breitingen, Stadt;4136;2118;2018
30.06.2011;14729370;      Rötha, Stadt;6058;3034;3024
30.06.2011;14729380;      Thallwitz;3650;1850;1800
30.06.2011;14729400;      Trebsen/Mulde, Stadt;4080;2024;2056
30.06.2011;14729410;      Wurzen, Stadt;16895;8093;8802
30.06.2011;14729430;      Zwenkau, Stadt;8778;4280;4498
30.06.2011;14730;    Nordsachsen, Landkreis;200966;99037;101929
30.06.2011;14730010;      Arzberg;2056;1051;1005
30.06.2011;14730020;      Bad Düben, Stadt;8077;3925;4152
30.06.2011;14730030;      Beilrode;4432;2213;2219
30.06.2011;14730045;      Belgern-Schildau, Stadt;8238;4118;4120
30.06.2011;14730050;      Cavertitz;2353;1205;1148
30.06.2011;14730060;      Dahlen, Stadt;4581;2209;2372
30.06.2011;14730070;      Delitzsch, Stadt;25333;12390;12943
30.06.2011;14730080;      Doberschütz;4197;2135;2062
30.06.2011;14730090;      Dommitzsch, Stadt;2715;1334;1381
30.06.2011;14730100;      Dreiheide;2181;1114;1067
30.06.2011;14730110;      Eilenburg, Stadt;15772;7557;8215
30.06.2011;14730120;      Elsnig;1482;775;707
30.06.2011;14730140;      Jesewitz;3032;1533;1499
30.06.2011;14730150;      Krostitz;3747;1893;1854
30.06.2011;14730160;      Laußig;3972;1993;1979
30.06.2011;14730170;      Liebschützberg;3223;1632;1591
