"Notes","Month","Month Code","Five-Year Age Groups","Five-Year Age Groups Code",Deaths,Population,Crude Rate
,"Dec., 1999","1999/12","55-59 years","55-59",9728,Not Applicable,Not Applicable
,"Dec., 1999","1999/12","60-64 years ","60-64",12272,Not Applicable,Not Applicable
,"Dec., 1999","1999/12","65-69 years","65-69",17335,Not Applicable,Not Applicable
,"Dec., 1999","1999/12","70-74 years","70-74",24095,Not Applicable,Not Applicable
,"Dec., 1999","1999/12","75-79 years","75-79",31645,Not Applicable,Not Applicable
,"Dec., 1999","1999/12","80-84 years","80-84",34107,Not Applicable,Not Applicable
,"Dec., 1999","1999/12","85-89 years","85-89",31623,Not Applicable,Not Applicable
,"Dec., 1999","1999/12","90-94 years","90-94",20684,Not Applicable,Not Applicable
,"Dec., 1999","1999/12","95-99 years","95-99",8136,Not Applicable,Not Applicable
,"Dec., 1999","1999/12","100+ years","100+",1832,Not Applicable,Not Applicable
,"Dec., 1999","1999/12","Not Stated","NS",27,Not Applicable,Not Applicable
,"Jan., 2000","2000/01","< 1 year","1",2395,Not Applicable,Not Applicable
,"Jan., 2000","2000/01","1-4 years","1-4",481,Not Applicable,Not Applicable
,"Jan., 2000","2000/01","5-9 years","5-9",290,Not Applicable,Not Applicable
,"Jan., 2000","2000/01","10-14 years","10-14",353,Not Applicable,Not Applicable
,"Jan., 2000","2000/01","15-19 years","15-19",1149,Not Applicable,Not Applicable
,"Jan., 2000","2000/01","20-24 years","20-24",1460,Not Applicable,Not Applicable
,"Jan., 2000","2000/01","25-29 years","25-29",1622,Not Applicable,Not Applicable
,"Jan., 2000","2000/01","30-34 years","30-34",2017,Not Applicable,Not Applicable
,"Jan., 2000","2000/01","35-39 years","35-39",3249,Not Applicable,Not Applicable
,"Jan., 2000","2000/01","40-44 years","40-44",4871,Not Applicable,Not Applicable
,"Jan., 2000","2000/01","45-49 years","45-49",6455,Not Applicable,Not Applicable
