year,age_group,jurisdiction,population
2014,30-44,Deutschland,1024599
2015,30-44,Deutschland,1040669
2016,30-44,Deutschland,1054476
2017,30-44,Deutschland,1039206
2018,30-44,Deutschland,1043355
2019,30-44,Deutschland,1055201
2020,30-44,Deutschland,1091312
2021,30-44,Deutschland,1116555
2022,30-44,Deutschland,1127859
2023,30-44,Deutschland,1127859
1999,30-44,Deutschland,1477274
2000,30-44,Deutschland,1450005
2001,30-44,Deutschland,1440128
2002,30-44,Deutschland,1400187
2003,30-44,Deutschland,1363600
2004,30-44,Deutschland,1298062
2005,30-44,Deutschland,1206890
2006,30-44,Deutschland,1150624
2007,30-44,Deutschland,1040387
2008,30-44,Deutschland,943717
2009,30-44,Deutschland,929932
2010,30-44,Deutschland,916592
2011,30-44,Deutschland,918663
2012,30-44,Deutschland,941418
2013,30-44,Deutschland,956046
2014,30-44,Deutschland,977736
2015,30-44,Deutschland,1045965
2016,30-44,Deutschland,1045463
2017,30-44,Deutschland,1060221
2018,30-44,Deutschland,1045184
2019,30-44,Deutschland,1048086
2020,30-44,Deutschland,1058097
2021,30-44,Deutschland,1094982
2022,30-44,Deutschland,1106068
2023,30-44,Deutschland,1106068
1999,30-44,Deutschland,1469050
2000,30-44,Deutschland,1476581
2001,30-44,Deutschland,1450670
2002,30-44,Deutschland,1439945
2003,30-44,Deutschland,1398377
2004,30-44,Deutschland,1361271
2005,30-44,Deutschland,1296427
2006,30-44,Deutschland,1204737
2007,30-44,Deutschland,1149399
2008,30-44,Deutschland,1036781
2009,30-44,Deutschland,941388
2010,30-44,Deutschland,931178
2011,30-44,Deutschland,894923
2012,30-44,Deutschland,925567
2013,30-44,Deutschland,949147
2014,30-44,Deutschland,965515
2015,30-44,Deutschland,995685
2016,30-44,Deutschland,1050450
2017,30-44,Deutschland,1051212
2018,30-44,Deutschland,1065675
2019,30-44,Deutschland,1048762
2020,30-44,Deutschland,1050221
2021,30-44,Deutschland,1061333
2022,30-44,Deutschland,1072078
2023,30-44,Deutschland,1072078
1999,30-44,Deutschland,1424872
2000,30-44,Deutschland,1468164
2001,30-44,Deutschland,1476899
2002,30-44,Deutschland,1450555
2003,30-44,Deutschland,1438447
2004,30-44,Deutschland,1396023
2005,30-44,Deutschland,1359348
2006,30-44,Deutschland,1293844
2007,30-44,Deutschland,1203073
2008,30-44,Deutschland,1145602
2009,30-44,Deutschland,1034274
2010,30-44,Deutschland,941733
2011,30-44,Deutschland,910408
2012,30-44,Deutschland,901764
2013,30-44,Deutschland,932728
2014,30-44,Deutschland,957954
2015,30-44,Deutschland,981810
2016,30-44,Deutschland,999664
2017,30-44,Deutschland,1056495
2018,30-44,Deutschland,1056516
2019,30-44,Deutschland,1069168
2020,30-44,Deutschland,1050675
2021,30-44,Deutschland,1053033
2022,30-44,Deutschland,1063694
2023,30-44,Deutschland,1063694
1999,30-44,Deutschland,1404723
2000,30-44,Deutschland,1424090
2001,30-44,Deutschland,1468690
2002,30-44,Deutschland,1476463
2003,30-44,Deutschland,1448475
2004,30-44,Deutschland,1436163
2005,30-44,Deutschland,1394246
2006,30-44,Deutschland,1356761
2007,30-44,Deutschland,1292288
2008,30-44,Deutschland,1199102
2009,30-44,Deutschland,1142479
2010,30-44,Deutschland,1034552
2011,30-44,Deutschland,921373
2012,30-44,Deutschland,916291
2013,30-44,Deutschland,908451
2014,30-44,Deutschland,940936
2015,30-44,Deutschland,973528
2016,30-44,Deutschland,985590
2017,30-44,Deutschland,1004728
2018,30-44,Deutschland,1060769
2019,30-44,Deutschland,1059479
2020,30-44,Deutschland,1070818
2021,30-44,Deutschland,1053223
2022,30-44,Deutschland,1063886
2023,30-44,Deutschland,1063886
1999,30-44,Deutschland,1368060
2000,30-44,Deutschland,1403988
2001,30-44,Deutschland,1424674
2002,30-44,Deutschland,1468226
2003,30-44,Deutschland,1474533
2004,30-44,Deutschland,1446132
2005,30-44,Deutschland,1434231
2006,30-44,Deutschland,1391454
2007,30-44,Deutschland,1354786
2008,30-44,Deutschland,1288341
2009,30-44,Deutschland,1195999
2010,30-44,Deutschland,1142789
2011,30-44,Deutschland,1004079
2012,30-44,Deutschland,926976
2013,30-44,Deutschland,922733
2014,30-44,Deutschland,916475
2015,30-44,Deutschland,954756
2016,30-44,Deutschland,976871
2017,30-44,Deutschland,990554
2018,30-44,Deutschland,1009272
2019,30-44,Deutschland,1063715
2020,30-44,Deutschland,1061065
2021,30-44,Deutschland,1072623
2022,30-44,Deutschland,1083482
2023,30-44,Deutschland,1083482
1999,30-44,Deutschland,1326138
2000,30-44,Deutschland,1367322
2001,30-44,Deutschland,1404263
2002,30-44,Deutschland,1424198
2003,30-44,Deutschland,1466359
2004,30-44,Deutschland,1471934
2005,30-44,Deutschland,1444134
2006,30-44,Deutschland,1431227
2007,30-44,Deutschland,1389707
2008,30-44,Deutschland,1350555
2009,30-44,Deutschland,1285204
2010,30-44,Deutschland,1195874
2011,30-44,Deutschland,1110733
2012,30-44,Deutschland,1009291
2013,30-44,Deutschland,932501
2014,30-44,Deutschland,930179
2015,30-44,Deutschland,930453
2016,30-44,Deutschland,957877
2017,30-44,Deutschland,981486
2018,30-44,Deutschland,995070
2019,30-44,Deutschland,1011818
2020,30-44,Deutschland,1065188
2021,30-44,Deutschland,1062573
2022,30-44,Deutschland,1073330
2023,30-44,Deutschland,1073330
1999,30-44,Deutschland,1261066
2000,30-44,Deutschland,1325466
2001,30-44,Deutschland,1367630
2002,30-44,Deutschland,1403660
2003,30-44,Deutschland,1422470
2004,30-44,Deutschland,1463934
2005,30-44,Deutschland,1469543
2006,30-44,Deutschland,1441134
2007,30-44,Deutschland,1428871
2008,30-44,Deutschland,1385779
2009,30-44,Deutschland,1347487
2010,30-44,Deutschland,1285082
2011,30-44,Deutschland,1154918
2012,30-44,Deutschland,1115554
2013,30-44,Deutschland,1014658
2014,30-44,Deutschland,939183
2015,30-44,Deutschland,942794
2016,30-44,Deutschland,933123
2017,30-44,Deutschland,962843
2018,30-44,Deutschland,985641
2019,30-44,Deutschland,997428
2020,30-44,Deutschland,1013187
2021,30-44,Deutschland,1066630
2022,30-44,Deutschland,1077428
2023,30-44,Deutschland,1077428
1999,30-44,Deutschland,1238416
2000,30-44,Deutschland,1260096
2001,30-44,Deutschland,1325031
2002,30-44,Deutschland,1366909
2003,30-44,Deutschland,1401548
2004,30-44,Deutschland,1419889
2005,30-44,Deutschland,1461601
2006,30-44,Deutschland,1466390
2007,30-44,Deutschland,1438489
2008,30-44,Deutschland,1424256
2009,30-44,Deutschland,1382125
2010,30-44,Deutschland,1346531
2011,30-44,Deutschland,1245781
2012,30-44,Deutschland,1159128
2013,30-44,Deutschland,1120204
2014,30-44,Deutschland,1020846
2015,30-44,Deutschland,950684
2016,30-44,Deutschland,945184
2017,30-44,Deutschland,937518
2018,30-44,Deutschland,966513
2019,30-44,Deutschland,987623
2020,30-44,Deutschland,998596
2021,30-44,Deutschland,1014635
2022,30-44,Deutschland,1024907
2023,30-44,Deutschland,1024907
1999,30-44,Deutschland,1210553
2000,30-44,Deutschland,1237357
2001,30-44,Deutschland,1259536
2002,30-44,Deutschland,1324022
2003,30-44,Deutschland,1364641
2004,30-44,Deutschland,1399349
2005,30-44,Deutschland,1417597
2006,30-44,Deutschland,1458750
2007,30-44,Deutschland,1463605
2008,30-44,Deutschland,1433621
2009,30-44,Deutschland,1420253
2010,30-44,Deutschland,1381272
2011,30-44,Deutschland,1307904
2012,30-44,Deutschland,1249441
2013,30-44,Deutschland,1163336
2014,30-44,Deutschland,1125520
2015,30-44,Deutschland,1031271
2016,30-44,Deutschland,953024
2017,30-44,Deutschland,949657
2018,30-44,Deutschland,941433
2019,30-44,Deutschland,968885
2020,30-44,Deutschland,988332
2021,30-44,Deutschland,999583
2022,30-44,Deutschland,1009703
2023,30-44,Deutschland,1009703
1999,30-44,Deutschland,1177514
2000,30-44,Deutschland,1208956
2001,30-44,Deutschland,1236607
2002,30-44,Deutschland,1258214
2003,30-44,Deutschland,1321898
2004,30-44,Deutschland,1361891
2005,30-44,Deutschland,1397128
2006,30-44,Deutschland,1414346
2007,30-44,Deutschland,1455878
2008,30-44,Deutschland,1458688
2009,30-44,Deutschland,1429511
2010,30-44,Deutschland,1418816
2011,30-44,Deutschland,1347294
2012,30-44,Deutschland,1311109
2013,30-44,Deutschland,1253200
2014,30-44,Deutschland,1168551
2015,30-44,Deutschland,1134886
2016,30-44,Deutschland,1032778
2017,30-44,Deutschland,956853
2018,30-44,Deutschland,953081
2019,30-44,Deutschland,943272
2020,30-44,Deutschland,969585
2021,30-44,Deutschland,988878
2022,30-44,Deutschland,998889
2023,30-44,Deutschland,998889
1999,45-64,Deutschland,1161536
2000,45-64,Deutschland,1176030
2001,45-64,Deutschland,1207862
2002,45-64,Deutschland,1234722
2003,45-64,Deutschland,1256051
2004,45-64,Deutschland,1319398
2005,45-64,Deutschland,1359439
2006,45-64,Deutschland,1393843
2007,45-64,Deutschland,1411275
2008,45-64,Deutschland,1450926
2009,45-64,Deutschland,1454265
2010,45-64,Deutschland,1427530
2011,45-64,Deutschland,1389312
2012,45-64,Deutschland,1349727
2013,45-64,Deutschland,1314370
2014,45-64,Deutschland,1257494
2015,45-64,Deutschland,1177330
2016,45-64,Deutschland,1135810
2017,45-64,Deutschland,1035587
2018,45-64,Deutschland,959668
2019,45-64,Deutschland,954462
2020,45-64,Deutschland,944048
2021,45-64,Deutschland,969960
2022,45-64,Deutschland,979780
2023,45-64,Deutschland,979780
1999,45-64,Deutschland,1128557
2000,45-64,Deutschland,1159795
2001,45-64,Deutschland,1174673
2002,45-64,Deutschland,1205707
2003,45-64,Deutschland,1232037
2004,45-64,Deutschland,1253391
2005,45-64,Deutschland,1316638
2006,45-64,Deutschland,1355968
2007,45-64,Deutschland,1390559
2008,45-64,Deutschland,1406185
2009,45-64,Deutschland,1446203
2010,45-64,Deutschland,1452151
2011,45-64,Deutschland,1396633
2012,45-64,Deutschland,1390784
2013,45-64,Deutschland,1352049
2014,45-64,Deutschland,1318041
2015,45-64,Deutschland,1265093
2016,45-64,Deutschland,1177742
2017,45-64,Deutschland,1138293
2018,45-64,Deutschland,1038269
2019,45-64,Deutschland,960829
2020,45-64,Deutschland,954793
2021,45-64,Deutschland,943804
2022,45-64,Deutschland,953359
2023,45-64,Deutschland,953359
1999,45-64,Deutschland,1133521
2000,45-64,Deutschland,1126482
2001,45-64,Deutschland,1157765
2002,45-64,Deutschland,1172503
2003,45-64,Deutschland,1202886
2004,45-64,Deutschland,1228841
2005,45-64,Deutschland,1250646
2006,45-64,Deutschland,1313381
2007,45-64,Deutschland,1352558
2008,45-64,Deutschland,1385462
2009,45-64,Deutschland,1401084
2010,45-64,Deutschland,1443309
2011,45-64,Deutschland,1425084
2012,45-64,Deutschland,1397245
2013,45-64,Deutschland,1391852
2014,45-64,Deutschland,1354898
2015,45-64,Deutschland,1324666
2016,45-64,Deutschland,1264331
2017,45-64,Deutschland,1179668
2018,45-64,Deutschland,1140019
2019,45-64,Deutschland,1038797
2020,45-64,Deutschland,960699
2021,45-64,Deutschland,954234
2022,45-64,Deutschland,963895
2023,45-64,Deutschland,963895
1999,45-64,Deutschland,1113454
2000,45-64,Deutschland,1131138
2001,45-64,Deutschland,1124315
2002,45-64,Deutschland,1155464
2003,45-64,Deutschland,1169433
2004,45-64,Deutschland,1199763
2005,45-64,Deutschland,1225769
2006,45-64,Deutschland,1247058
2007,45-64,Deutschland,1309865
2008,45-64,Deutschland,1347055
2009,45-64,Deutschland,1380276
2010,45-64,Deutschland,1397952
2011,45-64,Deutschland,1415602
2012,45-64,Deutschland,1425407
2013,45-64,Deutschland,1397810
2014,45-64,Deutschland,1393452
2015,45-64,Deutschland,1359970
2016,45-64,Deutschland,1323771
2017,45-64,Deutschland,1265662
2018,45-64,Deutschland,1180738
2019,45-64,Deutschland,1139590
2020,45-64,Deutschland,1038215
2021,45-64,Deutschland,959948
2022,45-64,Deutschland,969666
2023,45-64,Deutschland,969666
1999,45-64,Deutschland,1123726
2000,45-64,Deutschland,1110862
2001,45-64,Deutschland,1128577
2002,45-64,Deutschland,1121436
2003,45-64,Deutschland,1152162
2004,45-64,Deutschland,1166096
2005,45-64,Deutschland,1196513
2006,45-64,Deutschland,1221756
2007,45-64,Deutschland,1243286
2008,45-64,Deutschland,1304418
2009,45-64,Deutschland,1341482
2010,45-64,Deutschland,1376783
2011,45-64,Deutschland,1372129
2012,45-64,Deutschland,1415038
2013,45-64,Deutschland,1425513
2014,45-64,Deutschland,1398539
2015,45-64,Deutschland,1396645
2016,45-64,Deutschland,1358258
2017,45-64,Deutschland,1324077
2018,45-64,Deutschland,1265825
2019,45-64,Deutschland,1179680
2020,45-64,Deutschland,1138105
2021,45-64,Deutschland,1036458
2022,45-64,Deutschland,1046951
2023,45-64,Deutschland,1046951
1999,45-64,Deutschland,1087755
2000,45-64,Deutschland,1120698
2001,45-64,Deutschland,1108022
2002,45-64,Deutschland,1125457
2003,45-64,Deutschland,1117790
2004,45-64,Deutschland,1148046
2005,45-64,Deutschland,1162450
2006,45-64,Deutschland,1192283
2007,45-64,Deutschland,1217606
2008,45-64,Deutschland,1237602
2009,45-64,Deutschland,1298855
2010,45-64,Deutschland,1337515
2011,45-64,Deutschland,1354464
2012,45-64,Deutschland,1371099
2013,45-64,Deutschland,1414446
2014,45-64,Deutschland,1425189
2015,45-64,Deutschland,1400912
2016,45-64,Deutschland,1393957
2017,45-64,Deutschland,1357827
2018,45-64,Deutschland,1323697
2019,45-64,Deutschland,1263945
2020,45-64,Deutschland,1177845
2021,45-64,Deutschland,1135710
2022,45-64,Deutschland,1147208
2023,45-64,Deutschland,1147208
1999,45-64,Deutschland,1003191
2000,45-64,Deutschland,1084091
2001,45-64,Deutschland,1117385
2002,45-64,Deutschland,1104667
2003,45-64,Deutschland,1121792
2004,45-64,Deutschland,1113855
2005,45-64,Deutschland,1144190
2006,45-64,Deutschland,1158089
2007,45-64,Deutschland,1188090
2008,45-64,Deutschland,1211829
2009,45-64,Deutschland,1232064
2010,45-64,Deutschland,1294578
2011,45-64,Deutschland,1309492
2012,45-64,Deutschland,1352831
2013,45-64,Deutschland,1369707
2014,45-64,Deutschland,1413324
2015,45-64,Deutschland,1426217
2016,45-64,Deutschland,1397753
2017,45-64,Deutschland,1392300
2018,45-64,Deutschland,1356220
2019,45-64,Deutschland,1320960
2020,45-64,Deutschland,1261618
2021,45-64,Deutschland,1174754
2022,45-64,Deutschland,1186647
2023,45-64,Deutschland,1186647
1999,45-64,Deutschland,947557
2000,45-64,Deutschland,999443
2001,45-64,Deutschland,1080585
2002,45-64,Deutschland,1113405
2003,45-64,Deutschland,1100655
2004,45-64,Deutschland,1117256
2005,45-64,Deutschland,1109603
2006,45-64,Deutschland,1139359
2007,45-64,Deutschland,1153425
2008,45-64,Deutschland,1181955
2009,45-64,Deutschland,1205857
2010,45-64,Deutschland,1227633
2011,45-64,Deutschland,1275368
2012,45-64,Deutschland,1307360
2013,45-64,Deutschland,1350725
2014,45-64,Deutschland,1368092
2015,45-64,Deutschland,1413510
2016,45-64,Deutschland,1421951
2017,45-64,Deutschland,1395078
2018,45-64,Deutschland,1389766
2019,45-64,Deutschland,1352770
2020,45-64,Deutschland,1318051
2021,45-64,Deutschland,1257877
2022,45-64,Deutschland,1270612
2023,45-64,Deutschland,1270612
1999,45-64,Deutschland,834565
2000,45-64,Deutschland,943614
2001,45-64,Deutschland,995557
2002,45-64,Deutschland,1076523
2003,45-64,Deutschland,1108775
2004,45-64,Deutschland,1095815
2005,45-64,Deutschland,1112580
2006,45-64,Deutschland,1104521
2007,45-64,Deutschland,1134359
2008,45-64,Deutschland,1147173
2009,45-64,Deutschland,1175744
2010,45-64,Deutschland,1200908
2011,45-64,Deutschland,1205347
2012,45-64,Deutschland,1272539
2013,45-64,Deutschland,1304694
2014,45-64,Deutschland,1348394
2015,45-64,Deutschland,1367400
2016,45-64,Deutschland,1408732
2017,45-64,Deutschland,1418449
2018,45-64,Deutschland,1391794
2019,45-64,Deutschland,1385608
2020,45-64,Deutschland,1348886
2021,45-64,Deutschland,1313453
2022,45-64,Deutschland,1326750
2023,45-64,Deutschland,1326750
1999,45-64,Deutschland,742176
2000,45-64,Deutschland,830302
2001,45-64,Deutschland,939581
2002,45-64,Deutschland,991293
2003,45-64,Deutschland,1071635
2004,45-64,Deutschland,1103272
2005,45-64,Deutschland,1090745
2006,45-64,Deutschland,1106983
2007,45-64,Deutschland,1099322
2008,45-64,Deutschland,1127912
2009,45-64,Deutschland,1140687
2010,45-64,Deutschland,1170341
2011,45-64,Deutschland,1179409
2012,45-64,Deutschland,1202105
2013,45-64,Deutschland,1269286
2014,45-64,Deutschland,1301653
2015,45-64,Deutschland,1346726
2016,45-64,Deutschland,1361914
2017,45-64,Deutschland,1404391
2018,45-64,Deutschland,1414471
2019,45-64,Deutschland,1386952
2020,45-64,Deutschland,1380824
2021,45-64,Deutschland,1343318
2022,45-64,Deutschland,1356918
2023,45-64,Deutschland,1356918
1999,45-64,Deutschland,987985
2000,45-64,Deutschland,737949
2001,45-64,Deutschland,826037
2002,45-64,Deutschland,934937
2003,45-64,Deutschland,986273
2004,45-64,Deutschland,1065894
2005,45-64,Deutschland,1097581
2006,45-64,Deutschland,1084932
2007,45-64,Deutschland,1101293
2008,45-64,Deutschland,1092617
2009,45-64,Deutschland,1120993
2010,45-64,Deutschland,1134876
2011,45-64,Deutschland,1147315
2012,45-64,Deutschland,1175714
2013,45-64,Deutschland,1198221
2014,45-64,Deutschland,1265624
2015,45-64,Deutschland,1299396
2016,45-64,Deutschland,1340408
2017,45-64,Deutschland,1357082
2018,45-64,Deutschland,1399366
2019,45-64,Deutschland,1408832
2020,45-64,Deutschland,1381357
2021,45-64,Deutschland,1374519
2022,45-64,Deutschland,1388435
2023,45-64,Deutschland,1388435
1999,45-64,Deutschland,1006682
2000,45-64,Deutschland,981853
2001,45-64,Deutschland,733724
2002,45-64,Deutschland,821345
2003,45-64,Deutschland,929925
2004,45-64,Deutschland,980565
2005,45-64,Deutschland,1059733
2006,45-64,Deutschland,1091159
2007,45-64,Deutschland,1078735
2008,45-64,Deutschland,1094070
2009,45-64,Deutschland,1085620
2010,45-64,Deutschland,1114905
2011,45-64,Deutschland,1112845
2012,45-64,Deutschland,1142859
2013,45-64,Deutschland,1171109
2014,45-64,Deutschland,1193969
2015,45-64,Deutschland,1261766
2016,45-64,Deutschland,1293120
2017,45-64,Deutschland,1334645
2018,45-64,Deutschland,1351589
2019,45-64,Deutschland,1392942
2020,45-64,Deutschland,1402572
2021,45-64,Deutschland,1373938
2022,45-64,Deutschland,1387848
2023,45-64,Deutschland,1387848
1999,45-64,Deutschland,981990
2000,45-64,Deutschland,999971
2001,45-64,Deutschland,975354
2002,45-64,Deutschland,729066
2003,45-64,Deutschland,816200
2004,45-64,Deutschland,923799
2005,45-64,Deutschland,974440
2006,45-64,Deutschland,1053028
2007,45-64,Deutschland,1084372
2008,45-64,Deutschland,1071281
2009,45-64,Deutschland,1086385
2010,45-64,Deutschland,1079088
2011,45-64,Deutschland,1092372
2012,45-64,Deutschland,1107669
2013,45-64,Deutschland,1137764
2014,45-64,Deutschland,1166077
2015,45-64,Deutschland,1190144
2016,45-64,Deutschland,1254555
2017,45-64,Deutschland,1286991
2018,45-64,Deutschland,1327937
2019,45-64,Deutschland,1344388
2020,45-64,Deutschland,1385607
2021,45-64,Deutschland,1394414
2022,45-64,Deutschland,1408531
2023,45-64,Deutschland,1408531
1999,45-64,Deutschland,1189781
2000,45-64,Deutschland,975077
2001,45-64,Deutschland,992976
2002,45-64,Deutschland,968455
2003,45-64,Deutschland,723816
