"iso3c","chart_type","type","window"
"KAZ","yearly","asmr_who",
"KEN","yearly","asmr_who",
"KGZ","yearly","asmr_who",
"KHM","yearly","asmr_who",
"KIR","yearly","asmr_who",
"KNA","yearly","asmr_who",
"KOR","yearly","asmr_who","6"
"KWT","yearly","asmr_who",
"LAO","yearly","asmr_who",
"LBN","yearly","asmr_who",
"LBR","yearly","asmr_who",
"LBY","yearly","asmr_who",
"LCA","yearly","asmr_who",
"LIE","yearly","asmr_who","6"
"LKA","yearly","asmr_who",
"LSO","yearly","asmr_who",
"LTU","yearly","asmr_who","12"
"LUX","yearly","asmr_who","6"
"LVA","yearly","asmr_who","12"
"MAC","yearly","asmr_who",
"MAF","yearly","asmr_who",
"MAR","yearly","asmr_who",
"MCO","yearly","asmr_who",
"MDA","yearly","asmr_who",
"MDG","yearly","asmr_who",
"MDV","yearly","asmr_who",
"MEX","yearly","asmr_who",
"MHL","yearly","asmr_who",
"MKD","yearly","asmr_who",
"MLI","yearly","asmr_who",
"MLT","yearly","asmr_who","5"
"MMR","yearly","asmr_who",
"MNE","yearly","asmr_who","5"
"MNG","yearly","asmr_who",
"MNP","yearly","asmr_who",
"MOZ","yearly","asmr_who",
"MRT","yearly","asmr_who",
"MSR","yearly","asmr_who",
"MTQ","yearly","asmr_who",
"MUS","yearly","asmr_who",
"MWI","yearly","asmr_who",
"MYS","yearly","asmr_who",
"MYT","yearly","asmr_who",
"NAM","yearly","asmr_who",
"NCL","yearly","asmr_who",
"NER","yearly","asmr_who",
"NGA","yearly","asmr_who",
"NIC","yearly","asmr_who",
"NIU","yearly","asmr_who",
"NLD","yearly","asmr_who","5"
"NOR","yearly","asmr_who","12"
"NPL","yearly","asmr_who",
"NRU","yearly","asmr_who",
"NZL","yearly","asmr_who","5"
"OMN","yearly","asmr_who",
"PAK","yearly","asmr_who",
"PAN","yearly","asmr_who",
"PER","yearly","asmr_who",
"PHL","yearly","asmr_who",
"PLW","yearly","asmr_who",
"PNG","yearly","asmr_who",
"POL","yearly","asmr_who","5"
"PRI","yearly","asmr_who",
"PRK","yearly","asmr_who",
"PRT","yearly","asmr_who","6"
"PRY","yearly","asmr_who",
"PSE","yearly","asmr_who",
"PYF","yearly","asmr_who",
"QAT","yearly","asmr_who",
"REU","yearly","asmr_who",
"ROU","yearly","asmr_who",
"RUS","yearly","asmr_who","9"
"RWA","yearly","asmr_who",
"SAU","yearly","asmr_who",
"SDN","yearly","asmr_who",
"SEN","yearly","asmr_who",
"SGP","yearly","asmr_who",
"SHN","yearly","asmr_who",
"SLB","yearly","asmr_who",
"SLE","yearly","asmr_who",
"SLV","yearly","asmr_who",
"SMR","yearly","asmr_who",
"SOM","yearly","asmr_who",
"SPM","yearly","asmr_who",
"SRB","yearly","asmr_who","7"
"SSD","yearly","asmr_who",
"STP","yearly","asmr_who",
"SUR","yearly","asmr_who",
