"Notes","State","State Code","Year","Year Code",Deaths,Population,Crude Rate
,"Maryland","24","2002","2002",10963,71113,15416.3
,"Maryland","24","2003","2003",11355,73695,15408.1
,"Maryland","24","2004","2004",11020,75930,14513.4
,"Maryland","24","2005","2005",11628,79879,14557.0
,"Maryland","24","2006","2006",11834,84083,14074.2
,"Maryland","24","2007","2007",12403,87707,14141.4
,"Maryland","24","2008","2008",12699,91354,13900.9
,"Maryland","24","2009","2009",12826,95263,13463.8
,"Maryland","24","2010","2010",13076,98126,13325.7
,"Maryland","24","2011","2011",13635,102408,13314.4
,"Maryland","24","2012","2012",14115,105808,13340.2
,"Maryland","24","2013","2013",14456,109186,13239.8
,"Maryland","24","2014","2014",14213,111008,12803.6
,"Maryland","24","2015","2015",14931,113214,13188.3
,"Maryland","24","2016","2016",14694,114931,12785.1
,"Maryland","24","2017","2017",15310,116498,13141.9
"Total","Maryland","24",,,241073,1731762,13920.7
,"Massachusetts","25","1999","1999",17782,114657,15508.9
,"Massachusetts","25","2000","2000",18134,116692,15540.1
,"Massachusetts","25","2001","2001",18394,118174,15565.2
,"Massachusetts","25","2002","2002",18846,119501,15770.6
,"Massachusetts","25","2003","2003",18643,122792,15182.6
,"Massachusetts","25","2004","2004",18344,124719,14708.3
,"Massachusetts","25","2005","2005",18736,128026,14634.5
,"Massachusetts","25","2006","2006",18847,131688,14311.9
,"Massachusetts","25","2007","2007",18866,135740,13898.6
,"Massachusetts","25","2008","2008",19737,139312,14167.5
,"Massachusetts","25","2009","2009",19120,143171,13354.7
,"Massachusetts","25","2010","2010",19939,145199,13732.2
,"Massachusetts","25","2011","2011",20790,150079,13852.7
,"Massachusetts","25","2012","2012",20509,153113,13394.7
,"Massachusetts","25","2013","2013",21288,155881,13656.6
,"Massachusetts","25","2014","2014",21371,157194,13595.3
,"Massachusetts","25","2015","2015",22684,158558,14306.4
,"Massachusetts","25","2016","2016",21814,158806,13736.3
,"Massachusetts","25","2017","2017",22658,160490,14118.0
"Total","Massachusetts","25",,,376502,2633792,14295.1
,"Michigan","26","1999","1999",22423,139784,16041.2
,"Michigan","26","2000","2000",22750,142460,15969.4
,"Michigan","26","2001","2001",23082,146316,15775.4
,"Michigan","26","2002","2002",23695,149369,15863.4
,"Michigan","26","2003","2003",23752,154141,15409.3
,"Michigan","26","2004","2004",23822,157407,15134.0
,"Michigan","26","2005","2005",24584,162030,15172.5
,"Michigan","26","2006","2006",24685,169019,14604.9
,"Michigan","26","2007","2007",25534,175513,14548.2
,"Michigan","26","2008","2008",26856,180649,14866.4
,"Michigan","26","2009","2009",26258,186726,14062.3
,"Michigan","26","2010","2010",27478,191881,14320.3
,"Michigan","26","2011","2011",28585,199255,14345.9
,"Michigan","26","2012","2012",28960,203914,14202.1
,"Michigan","26","2013","2013",30033,208634,14395.1
,"Michigan","26","2014","2014",30395,210821,14417.4
,"Michigan","26","2015","2015",30832,212912,14481.1
,"Michigan","26","2016","2016",30582,213289,14338.3
,"Michigan","26","2017","2017",31447,213758,14711.5
"Total","Michigan","26",,,505753,3417878,14797.3
,"Minnesota","27","1999","1999",13235,84817,15604.2
,"Minnesota","27","2000","2000",12954,85601,15133.0
,"Minnesota","27","2001","2001",12947,87828,14741.3
,"Minnesota","27","2002","2002",13453,89338,15058.5
,"Minnesota","27","2003","2003",13351,91542,14584.6
,"Minnesota","27","2004","2004",13162,93051,14144.9
,"Minnesota","27","2005","2005",13563,94623,14333.7
,"Minnesota","27","2006","2006",13283,97685,13597.8
,"Minnesota","27","2007","2007",13691,100316,13647.9
,"Minnesota","27","2008","2008",14335,103148,13897.5
,"Minnesota","27","2009","2009",14049,104835,13401.1
,"Minnesota","27","2010","2010",14936,106664,14002.9
,"Minnesota","27","2011","2011",15246,110614,13783.1
,"Minnesota","27","2012","2012",15428,112619,13699.3
,"Minnesota","27","2013","2013",15804,115205,13718.2
,"Minnesota","27","2014","2014",15893,116662,13623.1
,"Minnesota","27","2015","2015",16677,118209,14108.1
,"Minnesota","27","2016","2016",16490,119364,13814.9
,"Minnesota","27","2017","2017",16928,120570,14040.0
"Total","Minnesota","27",,,275425,1952691,14104.9
,"Mississippi","28","1999","1999",6671,42266,15783.4
,"Mississippi","28","2000","2000",6960,42891,16227.2
,"Mississippi","28","2001","2001",6909,41922,16480.6
